Beverage_category,Beverage,Beverage_prep,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (mg)
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,370.00,10.00,5.00,0.00,0,220,56,1,51,13,0.10,0.02,0.45,0.15,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti Nonfat Milk,450.00,7.00,6.00,0.00,10,310,78,0,74,19,0.25,0.02,0.60,0.02,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,510.00,15.00,9.00,0.20,35,330,77,0,74,19,0.20,0.04,0.60,0.02,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,460.00,13.00,6.00,0.00,5,290,70,1,64,16,0.15,0.02,0.60,0.20,150
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short Nonfat Milk,130.00,1.50,1.00,0.00,5,70,26,1,23,7,0.10,0.00,0.20,0.10,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,150.00,4.50,2.50,0.10,15,80,26,1,22,7,0.10,0.00,0.20,0.10,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,130.00,3.50,1.00,0.00,0,60,23,2,18,6,0.06,0.00,0.20,0.20,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall Nonfat Milk,190.00,2.00,1.00,0.00,5,110,37,1,32,11,0.15,0.00,0.30,0.20,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,230.00,7.00,3.50,0.20,20,120,37,1,32,10,0.15,0.00,0.30,0.20,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,200.00,6.00,1.50,0.00,0,95,32,2,25,9,0.10,0.00,0.30,0.30,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande Nonfat Milk,240.00,2.50,1.50,0.00,5,140,48,2,41,14,0.20,0.00,0.40,0.25,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,290.00,9.00,5.00,0.20,25,160,47,2,41,14,0.20,0.02,0.40,0.25,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,250.00,7.00,2.00,0.00,0,125,41,3,32,12,0.15,0.00,0.40,0.40,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti Nonfat Milk,320.00,3.00,2.00,0.00,10,180,63,2,55,18,0.25,0.00,0.50,0.30,30
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,380.00,11.00,6.00,0.30,35,200,63,2,54,17,0.25,0.02,0.50,0.30,30
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,330.00,9.00,2.50,0.00,0,160,55,4,44,15,0.15,0.00,0.50,0.50,30
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,140.00,0.00,0.00,0.00,0,10,35,0,33,0,0.00,0.00,0.00,0.00,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Tall,210.00,0.00,0.00,0.00,0,15,53,0,49,0,0.00,0.00,0.00,0.00,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Grande,280.00,0.00,0.00,0.00,0,20,70,0,65,0,0.00,0.00,0.00,0.00,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Venti,360.00,0.00,0.00,0.00,0,25,89,0,83,0,0.00,0.00,0.00,0.00,0
Tazo® Tea Drinks,Tazo® Tea,Short,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,
Tazo® Tea Drinks,Tazo® Tea,Tall,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,
Tazo® Tea Drinks,Tazo® Tea,Grande,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,
Tazo® Tea Drinks,Tazo® Tea,Venti,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Short Nonfat Milk,100.00,0.10,0.10,0.00,0,50,22,0,21,4,0.06,0.00,0.10,0.00,50
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,120.00,2.00,1.00,0.10,10,55,22,0,21,4,0.06,0.00,0.10,0.00,50
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,110.00,1.50,0.20,0.00,0,45,20,0,18,3,0.04,0.00,0.10,0.06,50
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tall Nonfat Milk,160.00,0.20,0.10,0.00,5,80,34,0,32,6,0.10,0.00,0.20,0.02,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,190.00,3.50,1.50,0.10,15,90,34,0,32,6,0.10,0.00,0.20,0.02,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,160.00,2.50,0.30,0.00,0,70,31,1,28,5,0.06,0.00,0.20,0.10,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Grande Nonfat Milk,210.00,0.20,0.10,0.00,5,105,45,0,43,8,0.15,0.00,0.25,0.02,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,240.00,4.50,2.00,0.10,20,115,45,0,42,8,0.10,0.00,0.25,0.02,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,220.00,3.50,0.40,0.00,0,90,41,1,37,6,0.08,0.00,0.25,0.10,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Venti Nonfat Milk,260.00,0.30,0.20,0.00,5,135,57,0,54,10,0.15,0.00,0.35,0.02,120
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,310.00,6.00,3.00,0.20,25,150,56,0,53,10,0.15,0.02,0.30,0.02,120
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,280.00,4.50,0.50,0.00,0,115,51,1,46,8,0.10,0.00,0.30,0.15,120
Tazo® Tea Drinks,Tazo® Green Tea Latte,Short Nonfat Milk,130.00,0.20,0.10,0.00,5,85,26,0,25,7,0.10,0.04,0.20,0.02,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,170.00,4.00,2.00,0.10,15,95,26,0,25,7,0.10,0.06,0.20,0.02,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,140.00,3.00,0.40,0.00,0,70,22,1,20,6,0.08,0.04,0.20,0.10,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tall Nonfat Milk,210.00,0.40,0.20,0.00,5,125,42,1,41,11,0.20,0.10,0.35,0.04,55
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,260.00,6.00,3.00,0.20,25,140,41,1,40,10,0.15,0.10,0.35,0.04,55
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,230.00,4.50,0.50,0.00,0,110,36,2,33,9,0.10,0.10,0.35,0.15,55
Tazo® Tea Drinks,Tazo® Green Tea Latte,Grande Nonfat Milk,290.00,0.50,0.20,0.00,10,160,57,1,56,14,0.25,0.15,0.45,0.04,80
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,350.00,8.00,4.00,0.20,30,180,57,1,55,14,0.20,0.15,0.45,0.04,80
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,310.00,6.00,1.00,0.00,0,140,50,3,46,11,0.15,0.15,0.45,0.25,80
Tazo® Tea Drinks,Tazo® Green Tea Latte,Venti Nonfat Milk,370.00,0.50,0.30,0.00,10,200,73,2,71,18,0.30,0.20,0.60,0.06,110
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,450.00,10.00,5.00,0.30,40,230,72,2,71,17,0.25,0.20,0.50,0.06,110
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,390.00,8.00,1.00,0.00,0,180,64,4,58,14,0.20,0.20,0.60,0.30,110
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Short Nonfat Milk,80.00,0.10,0.10,0.00,0,45,16,0,16,4,0.06,0.00,0.10,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,90.00,2.00,1.00,0.10,10,50,15,0,15,3,0.06,0.00,0.10,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,80.00,1.50,0.20,0.00,0,40,14,0,13,3,0.04,0.00,0.10,0.06,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Tall Nonfat Milk,120.00,0.10,0.10,0.00,5,65,23,0,23,5,0.10,0.00,0.20,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,140.00,3.00,1.50,0.10,15,75,23,0,23,5,0.08,0.00,0.15,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,130.00,2.50,0.30,0.00,0,60,21,1,19,4,0.06,0.00,0.20,0.08,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Grande Nonfat Milk,150.00,0.20,0.10,0.00,5,85,31,0,31,7,0.15,0.00,0.25,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,190.00,4.00,2.00,0.10,15,95,31,0,30,7,0.10,0.00,0.25,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,170.00,3.50,0.40,0.00,0,80,27,1,25,6,0.08,0.00,0.25,0.10,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti Nonfat Milk,190.00,0.20,0.10,0.00,5,110,39,0,39,9,0.15,0.00,0.30,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,230.00,5.00,2.50,0.20,20,125,38,0,38,9,0.15,0.00,0.30,0.00,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,210.00,4.00,0.50,0.00,0,100,34,1,32,7,0.10,0.00,0.30,0.15,
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Short Nonfat Milk,80.00,0.10,0.10,0.00,0,45,16,0,16,4,0.06,0.00,0.10,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,90.00,2.00,1.00,0.10,10,50,15,0,15,3,0.06,0.00,0.10,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,80.00,1.50,0.20,0.00,0,40,14,0,13,3,0.04,0.00,0.10,0.06,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall Nonfat Milk,120.00,0.10,0.10,0.00,5,65,23,0,23,5,0.10,0.00,0.20,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,140.00,3.00,1.50,0.10,15,75,23,0,23,5,0.08,0.00,0.15,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,130.00,2.50,0.30,0.00,0,60,21,1,19,4,0.06,0.00,0.20,0.08,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande Nonfat Milk,150.00,0.20,0.10,0.00,5,85,31,0,31,7,0.15,0.00,0.25,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,190.00,4.00,2.00,0.10,15,95,31,0,30,7,0.10,0.00,0.25,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,170.00,3.50,0.40,0.00,0,80,27,1,25,6,0.08,0.00,0.25,0.10,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti Nonfat Milk,190.00,0.20,0.10,0.00,5,110,39,0,39,9,0.15,0.00,0.30,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,230.00,5.00,2.50,0.20,20,125,38,0,38,9,0.15,0.00,0.30,0.00,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,210.00,4.00,0.50,0.00,0,100,34,1,32,7,0.10,0.00,0.30,0.15,0
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Tall,60.00,0.00,0.00,0.00,0,4,15,0,15,0.2,0.00,0.00,0.00,0.00,120
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,90.00,0.10,0.00,0.00,0,5,21,0,21,0.3,0.00,0.00,0.00,0.00,165
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,130.00,0.10,0.00,0.00,0,5,31,0,31,0.4,0.00,0.00,0.00,0.00,235
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Nonfat Milk,80.00,0.10,0.00,0.00,0,25,18,0,18,2,0.02,0.00,0.06,0.00,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,90.00,1.00,0.50,0.00,5,25,18,0,18,2,0.02,0.00,0.06,0.00,
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,80.00,1.00,0.10,0.00,0,20,17,0,17,2,0.02,0.00,0.06,0.00,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Nonfat Milk,110.00,0.10,0.00,0.00,0,30,24,0,24,2,0.04,0.00,0.08,0.02,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,120.00,1.50,0.50,0.00,5,35,24,0,24,2,0.04,0.00,0.08,0.00,125
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,110.00,1.00,0.10,0.00,0,30,23,0,22,2,0.02,0.00,0.08,0.00,125
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Nonfat Milk,160.00,0.10,0.10,0.00,0,50,36,0,36,4,0.06,0.00,0.10,0.04,125
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,180.00,2.00,1.00,0.10,10,55,36,0,36,4,0.06,0.00,0.10,0.00,170
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,170.00,1.50,0.20,0.00,0,45,34,0,33,3,0.04,0.00,0.10,0.00,170
